Counter, G1, Probe1, G2, Probe2
0, 0, 0, 0, 0
40, 0, 0, 0, 0
80, 0, 0, 0, 0
120, 0, 0, 0, 0
160, 0, 0, 0, 0
200, 0, 0, 0, 0
240, 0, 0, 0, 0
280, 0, 0, 0, 0
320, 0, 0, 0, 0
